núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
54,2018,3,10,2,1,1,3,701,7,99,9,999,16,12,18,9,9,3,69,11,9999,99,3
55,2018,3,14,3,2,1,3,404,4,99,1,57,10,10,12,1,1,1,69,4,2007,4,1
56,2018,3,14,3,2,1,3,404,4,99,1,28,4,4,6,9,1,4,32,1,9999,99,1
57,2018,4,13,3,2,1,4,101,1,12,1,54,9,9,11,9,1,5,41,2,9999,99,1
58,2018,4,13,3,2,1,4,101,1,12,1,32,5,5,7,9,1,4,18,1,9999,99,1
59,2018,4,15,3,2,1,4,1602,16,99,1,42,7,7,9,9,1,12,28,11,2001,4,1
60,2018,4,22,4,3,1,4,1501,15,99,1,27,4,4,6,2,1,3,69,4,9999,99,1
61,2018,4,22,4,3,1,4,1501,15,99,2,20,3,3,5,1,1,2,999,6,9999,99,1
62,2018,4,14,3,2,1,4,414,4,99,1,40,7,7,9,9,1,3,41,3,2009,4,1
63,2018,4,14,3,2,1,4,414,4,99,1,19,2,2,4,9,1,4,999,1,2016,5,1
64,2018,5,0,1,1,1,5,101,1,6,1,22,3,3,5,2,1,4,67,5,2017,5,2
65,2018,5,2,1,1,1,5,108,1,99,1,25,4,4,6,9,1,1,66,99,9999,99,2
66,2018,5,6,2,1,1,5,511,5,99,1,57,10,10,12,1,1,6,19,5,2004,4,1
67,2018,5,6,2,1,1,5,511,5,99,1,56,10,10,12,9,1,6,17,2,9999,99,1
68,2018,5,6,2,1,1,5,501,5,99,1,28,4,4,6,9,1,4,999,5,9999,99,2
69,2018,5,8,2,1,1,5,1002,10,99,1,51,9,9,11,1,1,12,999,2,2006,4,1
70,2018,5,8,2,1,1,5,1002,10,99,1,32,5,5,7,1,1,4,6,4,2015,5,1
71,2018,5,13,3,2,1,5,1107,11,99,2,18,2,2,4,1,1,4,2,5,2016,5,1
72,2018,5,13,3,2,1,5,1107,11,99,9,999,16,12,18,9,9,5,30,2,1995,3,1
73,2018,5,7,2,1,1,5,1609,16,99,1,32,5,5,7,1,1,9,69,1,2005,4,1
74,2018,5,7,2,1,1,5,1609,16,99,1,32,5,5,7,1,1,3,69,4,2017,5,1
75,2018,5,11,2,1,1,5,1804,18,99,1,43,7,7,9,1,1,3,69,2,1984,2,1
76,2018,5,11,2,1,1,5,1804,18,99,1,17,2,2,4,1,2,4,67,4,9999,99,1
77,2018,6,11,2,1,1,6,101,1,6,1,23,3,3,5,1,1,1,27,2,1995,3,1
78,2018,6,3,1,1,1,6,101,1,1,1,33,5,5,7,1,1,1,10,2,2008,4,1
79,2018,6,3,1,1,1,6,101,1,1,1,27,4,4,6,1,1,1,28,4,2017,5,1
80,2018,6,21,4,3,1,6,101,1,3,9,999,16,12,18,9,9,4,999,99,9999,99,1
81,2018,6,15,3,2,1,6,1217,12,99,9,999,16,12,18,9,9,5,30,2,9999,99,1
82,2018,6,16,3,2,1,6,1804,18,99,9,999,16,12,18,9,9,5,999,2,9999,99,1
83,2018,6,11,2,1,1,6,1701,17,99,1,29,4,4,6,9,1,1,48,99,2000,4,1
84,2018,6,11,2,1,1,6,1701,17,99,1,29,4,4,6,9,1,4,67,1,9999,99,1
85,2018,6,17,3,2,1,6,1411,14,99,9,999,16,12,18,9,9,7,999,99,9999,99,3
86,2018,6,22,4,3,1,6,101,1,6,2,36,6,6,8,9,1,1,69,11,2017,5,1
87,2018,6,22,4,3,1,6,101,1,6,1,24,3,3,5,9,1,4,3,4,2010,5,1
88,2018,6,11,2,1,1,6,501,5,99,1,58,10,10,12,9,1,6,27,2,2015,5,1
89,2018,6,11,2,1,1,6,501,5,99,1,28,4,4,6,9,1,4,999,2,2015,5,1
90,2018,6,22,4,3,1,6,112,1,99,9,999,16,12,18,9,9,99,999,99,9999,99,3
91,2018,6,12,3,2,1,6,1307,13,99,1,25,4,4,6,2,1,4,18,99,9999,99,4
92,2018,6,16,3,2,1,6,1102,11,99,9,999,16,12,18,9,9,99,999,99,9999,99,1
93,2018,6,16,3,2,1,6,1102,11,99,1,25,4,4,6,2,1,4,999,99,9999,99,1
94,2018,7,21,4,3,1,7,101,1,1,9,999,16,12,18,9,9,99,999,99,9999,99,1
95,2018,7,21,4,3,1,7,101,1,1,1,30,5,5,7,9,1,4,1,3,9999,99,1
96,2018,7,0,1,1,1,7,104,1,99,1,45,8,8,10,9,1,4,6,5,2017,5,1
97,2018,7,0,1,1,1,7,104,1,99,1,21,3,3,5,9,1,4,27,1,2014,5,1
98,2018,7,17,3,2,1,7,111,1,99,1,39,6,6,8,9,1,3,56,11,1993,3,1
99,2018,7,17,3,2,1,7,111,1,99,1,999,16,12,18,9,9,4,76,14,2008,4,1
100,2018,7,14,3,2,1,7,1901,19,99,1,53,9,9,11,9,1,5,52,2,2002,4,1
101,2018,7,14,3,2,1,7,1901,19,99,1,25,4,4,6,9,1,3,69,6,1999,3,1
102,2018,7,16,3,2,1,7,504,5,99,1,37,6,6,8,2,1,3,56,6,9999,99,1
103,2018,7,16,3,2,1,7,504,5,99,1,53,9,9,11,9,1,4,999,5,9999,99,1
104,2018,7,1,1,1,1,7,501,5,99,1,23,3,3,5,9,1,4,999,99,9999,99,1
105,2018,7,1,1,1,1,7,501,5,99,9,999,16,12,18,9,9,5,999,99,9999,99,1
106,2018,7,14,3,2,1,7,509,5,99,2,30,5,5,7,9,1,1,52,5,2009,4,3
107,2018,7,9,2,1,1,7,920,9,99,1,34,5,5,7,9,1,8,67,99,9999,99,3
108,2018,7,11,2,1,1,7,1503,15,99,1,38,6,6,8,9,1,4,32,5,9999,99,1
109,2018,7,11,2,1,1,7,1503,15,99,1,27,4,4,6,9,1,14,6,1,2016,5,1
110,2018,7,16,3,2,1,7,1805,18,99,1,22,3,3,5,9,1,6,19,5,2000,4,1
111,2018,7,16,3,2,1,7,1709,17,99,1,50,9,9,11,9,1,1,28,2,9999,99,1
112,2018,7,16,3,2,1,7,1709,17,99,1,47,8,8,10,9,1,1,69,2,1998,3,1
113,2018,7,10,2,1,1,7,1710,17,99,1,31,5,5,7,2,1,2,31,2,2000,4,1
114,2018,7,12,3,2,1,7,1407,14,99,1,48,8,8,10,9,1,3,69,4,1993,3,1
115,2018,7,12,3,2,1,7,1407,14,99,1,35,6,6,8,9,1,9,69,3,2007,4,1
116,2018,8,14,3,2,1,1,115,1,99,1,40,7,7,9,9,1,3,69,3,1994,3,3
117,2018,8,23,4,3,1,1,101,1,3,1,27,4,4,6,9,1,4,64,5,9999,99,1
118,2018,8,12,3,2,1,1,101,1,18,1,20,3,3,5,9,1,9,67,1,9999,99,1
119,2018,8,12,3,2,1,1,101,1,18,9,999,16,12,18,9,1,11,999,99,9999,99,1
120,2018,8,21,4,3,1,1,111,1,99,1,38,6,6,8,9,1,5,31,4,2013,5,1
121,2018,8,21,4,3,1,1,111,1,99,1,64,11,11,13,9,1,3,41,4,2018,5,1
122,2018,8,21,4,3,1,1,113,1,99,1,54,9,9,11,2,1,3,69,3,9999,99,1
123,2018,8,21,4,3,1,1,113,1,99,1,999,16,12,18,1,1,4,6,1,9999,99,1
124,2018,8,19,4,3,1,1,2001,20,99,1,22,3,3,5,9,1,1,27,3,2000,4,1
125,2018,8,19,4,3,1,1,2001,20,99,1,39,6,6,8,9,1,9,69,4,2016,5,1
126,2018,8,21,4,3,1,1,1907,19,99,1,23,3,3,5,9,1,4,999,99,9999,99,1
127,2018,8,21,4,3,1,1,1907,19,99,9,999,16,12,18,9,9,14,999,99,9999,99,1
128,2018,8,0,1,1,1,1,1109,11,99,1,19,2,2,4,9,1,4,6,1,9999,99,1
129,2018,8,0,1,1,1,1,1109,11,99,1,999,16,12,18,9,1,1,999,99,9999,99,1
130,2018,8,0,1,1,1,1,1201,12,99,1,57,10,10,12,9,1,1,69,11,1985,2,1
131,2018,8,0,1,1,1,1,1201,12,99,1,42,7,7,9,9,1,1,69,11,1997,3,1
132,2018,8,13,3,2,1,1,1602,16,99,1,28,4,4,6,9,1,1,41,2,2000,4,1
133,2018,8,13,3,2,1,1,1602,16,99,9,999,16,12,18,9,9,2,31,3,9999,99,2
134,2018,8,14,3,2,1,1,1703,17,99,1,32,5,5,7,9,1,5,92,2,2000,4,1
135,2018,8,14,3,2,1,1,1703,17,99,1,27,4,4,6,9,1,14,6,1,9999,99,1
136,2018,8,17,3,2,1,1,1401,14,99,1,35,6,6,8,1,1,3,69,6,1998,3,3
137,2018,8,15,3,2,1,1,407,4,99,1,22,3,3,5,9,1,4,6,1,9999,99,1
138,2018,8,15,3,2,1,1,407,4,99,9,999,16,12,18,9,1,3,69,3,9999,99,1
139,2018,8,13,3,2,1,1,415,4,99,1,50,9,9,11,9,1,5,30,2,1994,3,1
140,2018,8,13,3,2,1,1,415,4,99,1,27,4,4,6,9,1,7,999,6,1990,3,1
141,2018,9,2,1,1,1,2,101,1,6,1,23,3,3,5,9,1,1,41,4,2005,4,1
142,2018,9,2,1,1,1,2,101,1,6,1,19,2,2,4,9,1,4,76,4,2007,4,1
143,2018,9,2,1,1,1,2,101,1,2,1,41,7,7,9,9,1,10,28,2,2015,5,1
144,2018,9,2,1,1,1,2,101,1,2,1,28,4,4,6,9,1,4,27,14,2018,5,1
145,2018,9,2,1,1,1,2,108,1,99,1,30,5,5,7,9,1,6,999,99,9999,99,3
146,2018,9,20,4,3,1,2,207,2,99,1,72,13,11,15,9,1,9,69,3,1997,3,1
147,2018,9,20,4,3,1,2,207,2,99,1,24,3,3,5,9,1,5,26,2,2000,4,1
148,2018,9,18,4,3,1,2,2004,20,99,1,44,7,7,9,9,1,3,69,4,9999,99,1
149,2018,9,15,3,2,1,2,401,4,99,1,36,6,6,8,9,1,5,30,2,1986,2,1
150,2018,9,15,3,2,1,2,401,4,99,1,22,3,3,5,9,1,4,64,5,9999,99,1
151,2018,9,10,2,1,1,2,609,6,99,1,44,7,7,9,1,1,3,69,3,1983,2,1
152,2018,9,10,2,1,1,2,609,6,99,9,999,16,12,18,9,9,6,30,14,9999,99,1
153,2018,9,10,2,1,1,2,609,6,99,1,37,6,6,8,1,1,4,64,5,9999,99,1
154,2018,9,11,2,1,1,2,1609,16,99,1,31,5,5,7,1,1,3,69,4,9999,99,3
155,2018,9,7,2,1,1,2,106,1,99,1,21,3,3,5,1,1,99,999,99,9999,99,1
156,2018,9,9,2,1,1,2,410,4,99,1,39,6,6,8,1,1,3,69,5,9999,99,1
157,2018,9,9,2,1,1,2,410,4,99,1,47,8,8,10,1,1,5,17,2,1995,3,1
158,2018,10,20,4,3,1,3,101,1,10,1,57,10,10,12,9,1,1,73,4,9999,99,1
159,2018,10,20,4,3,1,3,101,1,10,1,35,6,6,8,9,1,4,999,2,9999,99,1
160,2018,10,16,3,2,1,3,1801,18,99,1,22,3,3,5,9,1,4,67,5,2015,5,1
161,2018,10,16,3,2,1,3,1801,18,99,1,57,10,10,12,9,1,2,56,5,2000,4,1
162,2018,10,14,3,2,1,3,308,3,99,1,45,8,8,10,9,1,3,999,3,1987,2,1
163,2018,10,14,3,2,1,3,308,3,99,1,27,4,4,6,9,1,4,32,3,2017,5,1
164,2018,10,22,4,3,1,3,1712,17,99,1,21,3,3,5,9,1,1,79,1,9999,99,3
165,2018,10,14,3,2,1,3,1703,17,99,1,65,12,11,14,9,1,2,31,3,1991,3,1
166,2018,10,14,3,2,1,3,1703,17,99,1,37,6,6,8,9,1,4,27,1,2009,4,1
167,2018,10,16,3,2,1,3,1501,15,99,1,64,11,11,13,9,1,2,69,1,1993,3,2
168,2018,10,14,3,2,1,3,101,1,7,9,999,16,12,18,9,9,7,999,99,9999,99,1
169,2018,10,14,3,2,1,3,101,1,7,1,22,3,3,5,9,1,4,67,5,2018,5,1
170,2018,11,7,2,1,1,4,117,1,99,1,28,4,4,6,9,1,4,6,5,9999,99,1
171,2018,11,7,2,1,1,4,117,1,99,9,999,16,12,18,9,9,12,999,1,9999,99,1
172,2018,11,10,2,1,1,4,101,1,17,1,22,3,3,5,9,1,4,28,2,2016,5,1
173,2018,11,10,2,1,1,4,101,1,17,1,56,10,10,12,9,1,4,6,1,2010,5,1
174,2018,11,19,4,3,1,4,2101,21,99,9,999,16,12,18,9,9,3,999,99,9999,99,3
175,2018,11,21,4,3,1,4,1601,16,99,1,999,16,12,18,9,1,5,41,2,2006,4,1
176,2018,11,21,4,3,1,4,1601,16,99,1,999,16,12,18,9,1,3,69,8,1985,2,1
177,2018,11,11,2,1,1,4,201,2,99,9,999,16,12,18,9,9,99,999,99,9999,99,1
178,2018,11,7,2,1,1,4,117,1,99,1,32,5,5,7,1,1,1,999,99,9999,99,1
179,2018,11,7,2,1,1,4,117,1,99,1,999,16,12,18,1,9,4,999,99,9999,99,1
180,2018,11,21,4,3,1,4,1107,11,99,1,34,5,5,7,1,1,3,69,5,9999,99,1
181,2018,11,21,4,3,1,4,1107,11,99,1,54,9,9,11,1,1,4,6,1,9999,99,1
182,2018,11,23,4,3,1,4,1804,18,99,1,34,5,5,7,1,1,6,999,99,9999,99,1
183,2018,11,23,4,3,1,4,1804,18,99,1,40,7,7,9,1,1,9,999,99,9999,99,1
184,2018,11,19,4,3,1,4,2101,21,99,9,999,16,12,18,9,9,99,999,99,9999,99,3
185,2018,11,2,1,1,1,4,101,1,16,9,999,16,12,18,9,9,99,999,99,9999,99,1
186,2018,11,2,1,1,1,4,101,1,16,1,22,3,3,5,1,1,4,999,99,9999,99,1
187,2018,11,10,2,1,1,4,201,2,99,1,22,3,3,5,1,1,4,999,99,9999,99,1
188,2018,11,10,2,1,1,4,201,2,99,9,999,16,12,18,9,9,4,999,99,9999,99,1
189,2018,11,18,4,3,1,4,501,5,99,1,50,9,9,11,9,1,4,999,99,9999,99,4
190,2018,11,21,4,3,1,4,1501,15,99,1,33,5,5,7,9,1,3,69,2,9999,99,3
191,2018,12,4,1,1,1,5,101,1,13,1,42,7,7,9,9,1,1,73,4,2001,4,2
192,2018,12,16,3,2,1,5,2212,22,99,1,40,7,7,9,9,1,14,6,1,9999,99,1
193,2018,12,16,3,2,1,5,2212,22,99,1,39,6,6,8,9,1,3,56,2,9999,99,1
194,2018,12,18,4,3,1,5,501,5,99,1,50,9,9,11,1,1,4,8,2,2003,4,2
195,2018,12,6,2,1,1,5,501,5,99,1,35,6,6,8,9,1,4,6,3,9999,99,2
196,2018,12,6,2,1,1,5,1101,11,99,2,19,2,2,4,1,1,2,69,4,2001,4,1
197,2018,12,6,2,1,1,5,1101,11,99,1,52,9,9,11,1,1,5,31,2,1994,3,1
198,2018,12,12,3,2,1,5,1104,11,99,1,39,6,6,8,1,1,12,30,1,1997,3,1
199,2018,12,12,3,2,1,5,1104,11,99,2,29,4,4,6,1,1,2,27,6,1997,3,1
200,2018,12,17,3,2,1,5,601,6,99,1,59,10,10,12,1,1,4,62,1,9999,99,4
201,2018,12,18,4,3,1,5,1008,10,99,1,30,5,5,7,1,1,4,27,99,9999,99,1
202,2018,12,18,4,3,1,5,1008,10,99,1,26,4,4,6,1,1,14,6,1,2014,5,1
203,2018,12,20,4,3,1,5,1230,12,99,1,32,5,5,7,2,1,4,67,1,9999,99,1
204,2018,12,20,4,3,1,5,1230,12,99,9,999,16,12,18,1,9,14,999,99,9999,99,1
205,2018,12,16,3,2,1,5,1609,16,99,1,19,2,2,4,2,1,3,69,4,9999,99,1
206,2018,12,16,3,2,1,5,1609,16,99,1,31,5,5,7,1,1,8,34,8,9999,99,1
207,2018,12,9,2,1,1,5,203,2,99,1,30,5,5,7,1,1,3,69,11,2001,4,2
208,2018,12,16,3,2,1,5,201,2,99,1,36,6,6,8,2,1,2,69,4,2012,5,1
209,2018,12,16,3,2,1,5,201,2,99,1,24,3,3,5,1,1,4,6,4,2012,5,1
210,2018,12,23,4,3,1,5,1701,17,99,1,33,5,5,7,2,1,2,27,6,9999,99,3
211,2018,12,13,3,2,1,5,413,4,99,9,999,16,12,18,9,9,1,69,4,9999,99,2
212,2018,12,22,4,3,1,5,101,1,8,1,42,7,7,9,2,1,3,41,2,2004,4,1
213,2018,12,22,4,3,1,5,101,1,8,1,36,6,6,8,1,1,1,27,2,1994,3,1
214,2018,12,20,4,3,1,5,101,1,12,1,25,4,4,6,9,1,4,2,5,9999,99,2
215,2018,12,20,4,3,1,5,511,5,99,1,39,6,6,8,9,1,6,74,2,9999,99,1
216,2018,12,20,4,3,1,5,511,5,99,2,999,16,12,18,9,1,3,52,4,9999,99,1
217,2018,13,10,2,1,1,6,101,1,17,1,35,6,6,8,1,1,12,30,6,2003,4,1
218,2018,13,10,2,1,1,6,101,1,17,1,19,2,2,4,1,1,4,6,5,2012,5,1
219,2018,13,12,3,2,1,6,101,1,7,1,41,7,7,9,1,1,8,34,2,9999,99,1
220,2018,13,12,3,2,1,6,101,1,7,1,31,5,5,7,1,1,4,72,5,9999,99,1
221,2018,13,12,3,2,1,6,101,1,12,2,22,3,3,5,1,1,1,10,5,9999,99,1
222,2018,13,12,3,2,1,6,101,1,12,1,35,6,6,8,1,1,4,999,2,9999,99,1
223,2018,13,9,2,1,1,6,109,1,99,1,48,8,8,10,1,1,9,69,7,9999,99,1
224,2018,13,9,2,1,1,6,109,1,99,1,55,10,10,12,1,1,4,27,1,9999,99,1
225,2018,13,7,2,1,1,6,111,1,99,1,21,3,3,5,9,1,4,2,3,9999,99,2
226,2018,13,19,4,3,1,6,109,1,99,1,20,3,3,5,9,1,4,999,5,9999,99,2
227,2018,13,6,2,1,1,6,1905,19,99,1,43,7,7,9,1,1,9,52,4,2009,4,1
228,2018,13,6,2,1,1,6,1905,19,99,9,999,16,12,18,9,9,5,999,2,9999,99,1
229,2018,13,3,1,1,1,6,1906,19,99,1,25,4,4,6,1,1,6,19,5,2001,4,1
230,2018,13,3,1,1,1,6,1906,19,99,1,37,6,6,8,1,1,5,31,2,9999,99,1
231,2018,13,3,1,1,1,6,1906,19,99,1,28,4,4,6,1,1,6,19,2,9999,99,1
232,2018,13,19,4,3,1,6,608,6,99,1,42,7,7,9,2,1,1,48,11,9999,99,1
233,2018,13,19,4,3,1,6,608,6,99,1,40,7,7,9,1,1,6,19,10,2000,4,1
234,2018,13,0,1,1,1,6,1001,10,99,9,999,16,12,18,9,9,4,6,5,9999,99,4
235,2018,13,1,1,1,1,6,1001,10,99,1,27,4,4,6,2,1,4,6,5,2014,5,4
236,2018,13,16,3,2,1,6,1230,12,99,1,25,4,4,6,1,1,4,999,5,9999,99,1
237,2018,13,16,3,2,1,6,1230,12,99,1,22,3,3,5,1,1,4,27,5,9999,99,1
238,2018,13,21,4,3,1,6,1216,12,99,1,31,5,5,7,1,1,1,999,99,9999,99,1
239,2018,13,21,4,3,1,6,1216,12,99,9,999,16,12,18,1,9,1,999,8,9999,99,1
240,2018,13,20,4,3,1,6,1701,17,99,1,28,4,4,6,2,1,3,48,9,2000,4,1
241,2018,13,20,4,3,1,6,1701,17,99,1,23,3,3,5,1,1,4,67,3,2013,5,1
242,2018,14,1,1,1,1,7,101,1,12,1,25,4,4,6,9,1,4,999,1,9999,99,2
243,2018,14,1,1,1,1,7,109,1,99,1,23,3,3,5,9,1,4,54,5,9999,99,1
244,2018,14,1,1,1,1,7,109,1,99,9,999,16,12,18,9,9,1,999,5,9999,99,1
245,2018,14,5,1,1,1,7,101,1,16,1,40,7,7,9,9,1,1,69,4,9999,99,1
246,2018,14,5,1,1,1,7,101,1,16,1,28,4,4,6,9,1,2,28,4,9999,99,1
247,2018,14,12,3,2,1,7,117,1,99,1,20,3,3,5,1,1,9,28,11,9999,99,1
248,2018,14,12,3,2,1,7,117,1,99,1,65,12,11,14,1,1,1,10,4,9999,99,1
249,2018,14,12,3,2,1,7,112,1,99,1,24,3,3,5,9,1,4,6,3,2016,5,2
250,2018,14,6,2,1,1,7,2205,22,99,1,28,4,4,6,9,1,1,69,15,9999,99,1
251,2018,14,6,2,1,1,7,2205,22,99,9,999,16,12,18,9,9,5,31,2,9999,99,1
252,2018,14,13,3,2,1,7,1901,19,99,1,29,4,4,6,9,1,4,67,5,2015,5,2
253,2018,14,5,1,1,1,7,501,5,99,1,27,4,4,6,9,1,4,27,1,9999,99,2
254,2018,14,14,3,2,1,7,1604,16,99,1,29,4,4,6,1,1,3,69,99,9999,99,1
255,2018,14,14,3,2,1,7,1604,16,99,1,60,11,11,13,1,1,3,69,5,9999,99,1
256,2018,14,8,2,1,1,7,401,4,99,9,999,16,12,18,9,9,12,30,1,9999,99,1
257,2018,14,8,2,1,1,7,401,4,99,1,54,9,9,11,9,1,5,31,2,1993,3,1
258,2018,14,23,4,3,1,7,401,4,99,1,22,3,3,5,9,1,4,32,6,2017,5,2
259,2018,14,2,1,1,1,7,1701,17,99,1,22,3,3,5,2,1,1,69,11,2007,4,2
260,2018,14,8,2,1,1,7,901,9,99,1,58,10,10,12,9,1,3,999,6,2003,4,1
261,2018,14,8,2,1,1,7,901,9,99,1,999,16,12,18,9,1,4,999,1,9999,99,1
262,2018,15,16,3,2,1,1,109,1,99,1,37,6,6,8,9,1,5,40,3,2008,4,1
263,2018,15,16,3,2,1,1,109,1,99,1,35,6,6,8,9,1,4,67,1,9999,99,1
264,2018,15,8,2,1,1,1,501,5,99,1,45,8,8,10,2,1,1,56,3,2007,4,1
265,2018,15,8,2,1,1,1,501,5,99,1,17,2,2,4,1,2,4,6,5,9999,99,1
266,2018,15,18,4,3,1,1,1021,10,99,1,22,3,3,5,1,1,3,69,4,9999,99,1
267,2018,15,18,4,3,1,1,1021,10,99,1,39,6,6,8,2,1,4,27,1,9999,99,1
268,2018,15,13,3,2,1,1,1801,18,99,1,23,3,3,5,9,1,4,18,2,9999,99,2
269,2018,15,13,3,2,1,1,1701,17,99,1,38,6,6,8,1,1,4,27,1,2008,4,1
270,2018,15,13,3,2,1,1,1701,17,99,1,21,3,3,5,1,1,4,6,6,2015,5,1
