núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,tipo_veh,marca_veh,int_o_noint
114,2019,3,16,3,2,1,4,12,1202,99,1,24,3,3,5,1,5,9999,99,1,2,4,32,1
115,2019,3,23,4,3,1,4,18,1801,99,1,23,3,3,5,1,4,2017,5,1,2,4,67,1
116,2019,3,23,4,3,1,4,18,1801,99,2,33,5,5,7,1,4,2017,5,1,2,4,67,1
117,2019,3,23,4,3,1,4,18,1801,99,2,5,1,1,2,2,4,2017,5,1,2,4,67,1
118,2019,3,23,4,3,1,4,18,1801,99,2,3,1,1,1,2,4,2017,5,1,2,4,67,1
119,2019,3,6,2,1,1,4,18,1804,99,1,29,4,4,6,1,5,2012,5,1,2,22,2,2
120,2019,3,6,2,1,1,4,18,1804,99,1,29,4,4,6,1,4,2005,4,1,2,2,27,2
121,2019,3,7,2,1,1,4,17,1701,99,1,18,2,2,4,1,99,9999,99,6,2,4,999,1
122,2019,3,14,3,2,1,4,4,411,99,1,27,4,4,6,1,2,9999,99,3,2,3,69,1
123,2019,3,14,3,2,1,4,4,411,99,2,28,4,4,6,1,2,9999,99,3,2,3,69,1
124,2019,3,14,3,2,1,4,4,411,99,1,3,1,1,1,2,2,9999,99,3,2,3,69,1
125,2019,3,14,3,2,1,4,4,411,99,1,28,4,4,6,1,2,9999,99,3,2,3,69,1
126,2019,4,10,2,1,1,5,1,101,4,1,49,8,8,10,1,3,9999,99,1,2,4,67,1
127,2019,4,5,1,1,1,5,1,101,3,1,32,5,5,7,1,5,2012,5,1,2,4,6,1
128,2019,4,4,1,1,1,5,1,101,10,2,26,4,4,6,1,5,2018,5,1,2,4,6,1
129,2019,4,23,4,3,1,5,1,101,10,1,35,6,6,8,1,3,9999,99,1,2,4,6,1
130,2019,4,14,3,2,1,5,1,101,12,1,24,3,3,5,1,3,9999,99,1,2,4,6,1
131,2019,4,20,4,3,1,5,1,101,12,1,22,3,3,5,1,5,9999,99,1,2,4,100,1
132,2019,4,20,4,3,1,5,1,101,12,1,29,4,4,6,1,5,9999,99,1,2,4,67,1
133,2019,4,18,4,3,1,5,1,116,99,1,24,3,3,5,1,3,9999,99,1,2,4,67,1
134,2019,4,13,3,2,1,5,1,110,99,1,26,4,4,6,1,99,9999,99,1,2,4,999,1
135,2019,4,18,4,3,1,5,22,2202,99,1,999,16,12,18,1,6,9999,99,1,2,3,69,1
136,2019,4,10,2,1,1,5,20,2011,99,2,21,3,3,5,1,99,9999,99,3,2,99,69,1
137,2019,4,10,2,1,1,5,5,513,99,1,999,16,12,18,1,1,9999,99,1,2,4,2,1
138,2019,4,18,4,3,1,5,5,501,99,2,22,3,3,5,1,5,9999,99,1,1,4,67,2
139,2019,4,18,4,3,1,5,5,501,99,1,24,3,3,5,1,5,9999,99,1,2,4,67,1
140,2019,4,20,4,3,1,5,10,1012,99,1,33,5,5,7,1,99,9999,99,1,2,4,999,1
141,2019,4,20,4,3,1,5,10,1012,99,2,3,1,1,1,2,99,9999,99,1,2,4,999,1
142,2019,4,5,1,1,1,5,11,1105,99,1,23,3,3,5,1,5,9999,99,6,2,4,67,1
143,2019,4,5,1,1,1,5,11,1105,99,1,22,3,3,5,1,5,9999,99,6,2,4,67,1
144,2019,4,8,2,1,1,5,9,919,99,1,17,2,2,4,2,6,9999,99,2,2,3,69,1
145,2019,4,8,2,1,1,5,9,919,99,2,38,6,6,8,1,6,9999,99,2,2,3,69,1
146,2019,4,8,2,1,1,5,9,919,99,1,72,13,11,15,1,6,9999,99,2,2,3,69,1
147,2019,4,8,2,1,1,5,9,919,99,2,1,1,1,1,2,6,9999,99,2,2,3,69,1
148,2019,4,8,2,1,1,5,9,919,99,2,5,1,1,2,2,6,9999,99,2,2,3,69,1
149,2019,4,8,2,1,1,5,9,919,99,1,23,3,3,5,1,6,9999,99,2,2,3,69,1
150,2019,4,8,2,1,1,5,9,919,99,1,17,2,2,4,2,6,9999,99,2,2,3,69,1
151,2019,4,8,2,1,1,5,9,919,99,2,21,3,3,5,1,6,9999,99,2,1,3,69,2
152,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
153,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
154,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
155,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
156,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
157,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
158,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
159,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
160,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
161,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,2,12,30,1
162,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
163,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
164,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
165,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
166,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
167,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
168,2019,4,23,4,3,1,5,12,1201,99,1,999,16,12,18,1,3,2003,4,4,1,12,30,2
169,2019,4,16,3,2,1,5,16,1601,99,1,27,4,4,6,1,6,9999,99,1,2,8,10,2
170,2019,4,16,3,2,1,5,16,1601,99,1,28,4,4,6,1,6,9999,99,1,2,12,41,2
171,2019,4,21,4,3,1,5,17,1706,99,1,40,7,7,9,1,1,2017,5,1,2,4,35,1
172,2019,4,21,4,3,1,5,17,1706,99,2,35,6,6,8,1,1,2017,5,1,2,4,35,1
