Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
82,2020,6,16,3,2,1,1,1,101,3,1,23,3,3,5,9,1,4,999,99,9999,99,1
83,2020,6,1,1,1,1,1,1,101,18,1,37,6,6,8,2,1,2,52,4,9999,99,1
84,2020,6,1,1,1,1,1,1,101,18,2,25,4,4,6,1,1,1,52,4,2015,5,1
85,2020,6,1,1,1,1,1,1,108,99,1,999,16,12,18,9,1,3,17,4,9999,99,2
86,2020,6,21,4,3,1,1,6,601,99,1,41,7,7,9,9,1,5,30,99,9999,99,1
87,2020,6,21,4,3,1,1,6,601,99,1,20,3,3,5,9,1,4,25,5,9999,99,1
88,2020,6,19,4,3,1,1,16,1602,99,1,36,6,6,8,9,1,1,52,3,9999,99,1
89,2020,6,19,4,3,1,1,16,1602,99,1,23,3,3,5,9,1,4,76,99,9999,99,1
90,2020,6,16,3,2,1,1,2,208,99,1,999,16,12,18,9,1,4,999,5,9999,99,1
91,2020,6,16,3,2,1,1,2,208,99,1,28,4,4,6,1,1,9,999,5,9999,99,1
92,2020,6,23,4,3,1,1,4,416,99,1,25,4,4,6,9,1,4,6,5,2019,5,1
93,2020,6,23,4,3,1,1,4,416,99,1,29,4,4,6,9,1,1,27,3,2000,4,1
94,2020,6,19,4,3,1,1,3,303,99,1,999,16,12,18,9,1,4,999,99,9999,99,1
95,2020,6,19,4,3,1,1,3,303,99,1,47,8,8,10,9,1,4,76,5,9999,99,1
96,2020,7,7,2,1,1,2,1,101,1,1,59,10,10,12,1,1,12,50,3,9999,99,1
97,2020,7,7,2,1,1,2,1,101,1,1,25,4,4,6,1,1,4,6,5,9999,99,1
98,2020,7,7,2,1,1,2,1,101,12,2,27,4,4,6,9,1,1,48,4,9999,99,1
99,2020,7,7,2,1,1,2,1,101,12,1,37,6,6,8,9,1,4,999,5,9999,99,1
100,2020,7,19,4,3,1,2,1,115,99,1,999,16,12,18,9,1,1,999,99,9999,99,1
101,2020,7,19,4,3,1,2,1,115,99,1,24,3,3,5,9,1,18,999,99,9999,99,1
102,2020,7,1,1,1,1,2,1,108,99,1,999,16,12,18,9,1,6,999,99,9999,99,1
103,2020,7,1,1,1,1,2,1,108,99,1,26,4,4,6,1,1,4,67,5,9999,99,1
104,2020,7,21,4,3,1,2,1,108,99,1,38,6,6,8,9,1,4,999,99,9999,99,6
105,2020,7,22,4,3,1,2,12,1222,99,1,999,16,12,18,9,1,3,69,3,9999,99,1
106,2020,7,22,4,3,1,2,12,1222,99,1,23,3,3,5,9,1,14,6,1,9999,99,1
107,2020,8,15,3,2,1,3,1,101,1,1,32,5,5,7,1,1,2,4,2,2011,5,1
108,2020,8,15,3,2,1,3,1,101,1,2,19,2,2,4,1,1,1,48,2,1985,2,1
109,2020,8,5,1,1,1,3,1,101,18,1,23,3,3,5,1,1,4,67,5,9999,99,1
110,2020,8,9,2,1,1,3,1,101,7,1,22,3,3,5,9,1,4,6,5,9999,99,6
111,2020,8,20,4,3,1,3,1,110,99,1,27,4,4,6,1,1,1,41,4,2015,5,1
112,2020,8,20,4,3,1,3,1,110,99,1,20,3,3,5,1,1,4,2,5,2019,5,1
113,2020,8,9,2,1,1,3,21,2101,99,1,37,6,6,8,2,1,7,30,5,9999,99,1
114,2020,8,9,2,1,1,3,21,2101,99,1,40,7,7,9,1,1,4,77,1,9999,99,1
115,2020,8,9,2,1,1,3,5,508,99,1,41,7,7,9,1,1,6,88,2,1999,3,1
116,2020,8,9,2,1,1,3,5,508,99,1,33,5,5,7,9,1,3,999,9,9999,99,1
117,2020,8,17,3,2,1,3,9,901,99,1,31,5,5,7,9,1,4,67,5,2014,5,2
118,2020,8,14,3,2,1,3,2,201,99,1,61,11,11,13,9,1,2,69,4,2012,5,1
119,2020,8,14,3,2,1,3,2,201,99,1,54,9,9,11,9,1,3,69,4,1994,3,1
120,2020,8,19,4,3,1,3,3,312,99,1,22,3,3,5,2,1,1,48,99,9999,99,2
121,2020,9,8,2,1,1,4,1,101,1,1,46,8,8,10,1,1,1,56,4,2013,5,1
