Núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
123,2020,9,20,4,3,1,4,4,406,99,1,42,7,7,9,1,1,999,4,9999,99,2,2,2
124,2020,10,22,4,3,1,5,1,101,12,1,34,5,5,7,1,4,999,99,9999,99,2,2,1
125,2020,10,7,2,1,1,5,1,115,99,1,34,5,5,7,1,4,27,4,9999,99,2,2,1
126,2020,10,18,4,3,1,5,1,115,99,1,999,16,12,18,1,4,39,3,9999,99,1,2,1
127,2020,10,23,4,3,1,5,1,116,99,1,30,5,5,7,1,4,6,5,9999,99,1,2,1
128,2020,10,11,2,1,1,5,20,2001,99,1,43,7,7,9,1,3,52,4,2005,4,1,2,2
129,2020,10,11,2,1,1,5,20,2001,99,2,22,3,3,5,1,4,67,5,2018,5,1,2,2
130,2020,10,7,2,1,1,5,5,502,99,1,18,2,2,4,1,4,999,1,9999,99,1,2,1
131,2020,10,22,4,3,1,5,5,509,99,1,19,2,2,4,1,4,100,8,9999,99,1,1,2
132,2020,10,20,4,3,1,5,12,1229,99,2,999,16,12,18,1,2,27,2,9999,99,1,2,1
133,2020,10,20,4,3,1,5,12,1229,99,1,999,16,12,18,1,3,69,5,9999,99,1,2,1
134,2020,10,22,4,3,1,5,15,1501,99,1,18,2,2,4,1,4,76,2,9999,99,1,2,1
135,2020,10,22,4,3,1,5,15,1501,99,2,24,3,3,5,1,4,76,3,9999,99,1,2,1
136,2020,10,22,4,3,1,5,15,1501,99,1,16,2,2,4,2,4,76,3,9999,99,1,2,2
137,2020,10,19,4,3,1,5,18,1803,99,1,21,3,3,5,1,4,27,5,9999,99,4,1,2
138,2020,10,19,4,3,1,5,18,1803,99,1,17,2,2,4,2,99,999,99,9999,99,3,2,1
139,2020,10,20,4,3,1,5,3,308,99,1,18,2,2,4,1,4,25,99,9999,99,1,2,1
140,2020,10,20,4,3,1,5,3,308,99,2,30,5,5,7,1,4,25,99,9999,99,1,2,1
141,2020,11,7,2,1,1,6,1,117,99,1,49,8,8,10,1,4,18,99,9999,99,1,2,1
142,2020,11,8,2,1,1,6,5,502,99,1,28,4,4,6,1,4,67,5,2017,5,1,2,1
143,2020,11,8,2,1,1,6,5,502,99,2,23,3,3,5,1,4,6,5,2016,5,1,2,1
144,2020,11,14,3,2,1,6,19,1904,99,1,40,7,7,9,1,4,67,5,9999,99,1,1,2
145,2020,11,13,3,2,1,6,15,1507,99,1,35,6,6,8,1,1,69,4,1999,3,1,2,1
146,2020,11,13,3,2,1,6,15,1507,99,1,68,12,11,14,1,7,28,99,2002,4,1,2,1
147,2020,11,21,4,3,1,6,15,1501,99,2,19,2,2,4,1,4,67,3,9999,99,1,2,1
148,2020,11,19,4,3,1,6,18,1804,99,1,40,7,7,9,1,4,18,99,9999,99,1,2,1
149,2020,11,7,2,1,1,6,1,114,99,1,19,2,2,4,1,4,6,2,2018,5,1,2,1
150,2020,11,15,3,2,1,6,1,101,1,1,32,5,5,7,1,11,999,2,9999,99,1,2,1
151,2020,11,15,3,2,1,6,1,101,1,2,63,11,11,13,1,11,999,2,9999,99,1,2,1
152,2020,11,15,3,2,1,6,1,101,1,2,25,4,4,6,1,11,999,2,9999,99,1,2,1
153,2020,11,15,3,2,1,6,1,101,1,1,999,16,12,18,1,3,10,3,2013,5,1,2,1
154,2020,11,19,4,3,1,6,1,110,99,1,22,3,3,5,1,4,54,3,9999,99,6,1,2
155,2020,11,22,4,3,1,6,2,203,99,2,22,3,3,5,1,4,27,1,9999,99,1,2,1
156,2020,11,22,4,3,1,6,2,203,99,2,23,3,3,5,1,4,67,4,9999,99,1,2,1
157,2020,12,17,3,2,1,7,1,101,1,1,24,3,3,5,1,4,27,5,9999,99,1,2,1
158,2020,12,20,4,3,1,7,1,107,99,1,23,3,3,5,1,4,32,7,2007,4,1,1,2
159,2020,12,20,4,3,1,7,1,107,99,2,14,1,1,3,2,4,32,7,2007,4,1,2,1
160,2020,12,1,1,1,1,7,1,115,99,1,23,3,3,5,1,4,18,5,2019,5,1,2,2
161,2020,12,6,2,1,1,7,1,115,99,1,35,6,6,8,1,4,6,5,9999,99,1,2,1
162,2020,12,1,1,1,1,7,1,115,99,1,999,16,12,18,1,4,999,99,9999,99,6,2,1
