núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
629,2018,4,18,4,3,1,4,1201,12,99,2,36,6,6,8,1,2,69,6,9999,99,5,2,1
630,2018,4,18,4,3,1,4,1201,12,99,2,39,6,6,8,1,2,69,6,9999,99,5,2,1
631,2018,4,11,2,1,1,4,1706,17,99,1,8,1,1,2,2,3,69,99,9999,99,5,1,2
632,2018,4,21,4,3,1,4,414,4,99,1,10,1,1,3,2,4,32,7,9999,99,5,2,1
633,2018,5,23,4,3,1,5,1222,12,99,1,33,5,5,7,1,4,54,1,2012,5,5,2,1
634,2018,5,13,3,2,1,5,1804,18,99,1,7,1,1,2,2,4,999,5,9999,99,5,1,2
635,2018,5,18,4,3,1,5,1709,17,99,1,45,8,8,10,1,3,69,2,9999,99,5,1,2
636,2018,5,16,3,2,1,5,303,3,99,2,40,7,7,9,1,2,48,4,2006,4,5,2,1
637,2018,5,16,3,2,1,5,303,3,99,1,5,1,1,2,2,2,48,4,2006,4,5,2,1
638,2018,5,16,3,2,1,5,303,3,99,1,0,1,1,1,2,2,48,4,2006,4,5,2,1
639,2018,5,16,3,2,1,5,303,3,99,1,50,9,9,11,1,2,48,4,2006,4,5,2,1
640,2018,6,1,1,1,1,6,109,1,99,1,17,2,2,4,2,4,54,3,2016,5,5,2,1
641,2018,6,13,3,2,1,6,101,1,4,1,65,12,11,14,1,4,27,2,1995,3,5,2,1
642,2018,6,15,3,2,1,6,101,1,2,1,29,4,4,6,1,2,999,5,9999,99,5,1,2
643,2018,6,9,2,1,1,6,207,2,99,1,24,3,3,5,1,99,999,99,9999,99,5,2,1
644,2018,6,17,3,2,1,6,502,5,99,1,76,14,11,16,1,99,999,99,9999,99,5,2,1
645,2018,6,19,4,3,1,6,101,1,12,1,60,11,11,13,1,99,999,99,9999,99,5,1,2
646,2018,6,20,4,3,1,6,206,2,99,2,36,6,6,8,1,4,67,1,9999,99,5,2,1
647,2018,6,20,4,3,1,6,206,2,99,1,23,3,3,5,1,4,67,1,9999,99,5,2,1
648,2018,6,20,4,3,1,6,206,2,99,2,38,6,6,8,1,4,999,1,9999,99,5,2,1
649,2018,6,20,4,3,1,6,206,2,99,2,24,3,3,5,1,4,67,1,9999,99,5,2,1
650,2018,7,17,3,2,1,7,101,1,6,2,47,8,8,10,1,1,69,2,2007,4,5,2,1
651,2018,7,17,3,2,1,7,101,1,6,1,7,1,1,2,2,1,69,2,2007,4,5,2,1
652,2018,7,5,1,1,1,7,101,1,14,1,28,4,4,6,1,99,999,99,9999,99,5,2,1
653,2018,7,2,1,1,1,7,2101,21,99,1,35,6,6,8,1,99,999,99,9999,99,5,1,2
654,2018,7,16,3,2,1,7,922,9,99,1,25,4,4,6,1,99,999,99,9999,99,5,1,2
655,2018,7,2,1,1,1,7,301,3,99,2,25,4,4,6,1,99,999,99,9999,99,5,2,1
656,2018,8,22,4,3,1,1,101,1,1,1,38,6,6,8,1,12,74,6,9999,99,5,2,1
657,2018,8,0,1,1,1,1,101,1,6,2,51,9,9,11,1,4,25,2,2018,5,5,2,1
658,2018,8,20,4,3,1,1,108,1,99,2,28,4,4,6,1,4,32,5,2014,5,5,2,1
659,2018,8,19,4,3,1,1,101,1,17,2,60,11,11,13,1,4,999,99,9999,99,5,2,1
660,2018,8,20,4,3,1,1,101,1,11,1,28,4,4,6,1,3,999,99,9999,99,5,2,1
661,2018,8,5,1,1,1,1,109,1,99,1,40,7,7,9,1,99,999,99,9999,99,5,1,2
662,2018,8,11,2,1,1,1,2001,20,99,1,12,1,1,3,2,3,67,99,2017,5,5,2,1
663,2018,8,18,4,3,1,1,1021,10,99,2,25,4,4,6,1,3,69,9,9999,99,5,2,1
664,2018,8,18,4,3,1,1,1021,10,99,1,41,7,7,9,1,3,69,9,9999,99,5,2,1
