﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
2203,2022,16,18,18:00 a 23:59,Noche,3,Miercoles,Suchitepéquez,San Antonio Suchitepéquez,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Honda,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2204,2022,16,13,12:00 a 17:59,Tarde,3,Miercoles,Huehuetenango,San Pedro Necta,Ignorado,Mujer,10,Menor de 15,Menor de 15,10 - 14,Menor,Cuatrimoto,Bajaj,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
2205,2022,16,13,12:00 a 17:59,Tarde,3,Miercoles,Huehuetenango,San Pedro Necta,Ignorado,Mujer,47,45-49,45-49,45 - 49,Mayor,Cuatrimoto,Bajaj,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
2206,2022,16,13,12:00 a 17:59,Tarde,3,Miercoles,Huehuetenango,San Pedro Necta,Ignorado,Hombre,45,45-49,45-49,45 - 49,Mayor,Cuatrimoto,Bajaj,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
2207,2022,16,8,06:00 a 11:59,Mañana,3,Miercoles,Alta Verapaz,Fray Bartolomé de las Casas,Ignorado,Hombre,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Serpento,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2208,2022,16,18,18:00 a 23:59,Noche,3,Miercoles,Alta Verapaz,Fray Bartolomé de las Casas,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Fallecido,No internado,1
2209,2022,16,19,18:00 a 23:59,Noche,3,Miercoles,Alta Verapaz,Fray Bartolomé de las Casas,Ignorado,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Fallecido,No internado,1
2210,2022,16,14,12:00 a 17:59,Tarde,3,Miercoles,Izabal,Morales,Ignorado,Mujer,10,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Toyota,Azul,1993,1990-1999,2,Fallecido,No internado,2
2211,2022,16,15,12:00 a 17:59,Tarde,3,Miercoles,Izabal,Los Amates,Ignorado,Hombre,62,60-64,60 y más,60 - 64,Mayor,Camión,Mack,Rojo,1990,1990-1999,1,Lesionado,Internado,1
2212,2022,16,15,12:00 a 17:59,Tarde,3,Miercoles,Izabal,Los Amates,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Camión,Mack,Rojo,1990,1990-1999,1,Lesionado,Internado,1
2213,2022,16,15,12:00 a 17:59,Tarde,3,Miercoles,Izabal,Los Amates,Ignorado,Hombre,38,35-39,35-39,35 - 39,Mayor,Pick up,Mitsubishi,Azul,Ignorado,Ignorado,1,Lesionado,Internado,1
2214,2022,16,17,12:00 a 17:59,Tarde,3,Miercoles,Petén,Dolores,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
2215,2022,16,17,12:00 a 17:59,Tarde,3,Miercoles,Petén,Dolores,Ignorado,Hombre,70,70-74,60 y más,70 - 74,Mayor,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
2216,2022,16,0,00:00 a 05:59,Mañana,3,Miercoles,Chimaltenango,El Tejar,Ignorado,Hombre,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Movesa,Gris,2020,2020-2029,1,Lesionado,No internado,1
2217,2022,16,19,18:00 a 23:59,Noche,3,Miercoles,Chimaltenango,San Martín Jilotepeque,4,Mujer,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Honda,Azul,2011,2010-2019,1,Lesionado,Internado,1
2218,2022,17,13,12:00 a 17:59,Tarde,3,Jueves,Guatemala,Guatemala,6,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,1,Fallecido,Internado,1
2219,2022,17,14,12:00 a 17:59,Tarde,3,Jueves,Guatemala,Guatemala,6,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2220,2022,17,17,12:00 a 17:59,Tarde,3,Jueves,Guatemala,Guatemala,6,Hombre,27,25-29,25-29,25 - 29,Mayor,Motocicleta,Italika,Negro,2021,2020-2029,1,Lesionado,Internado,1
2221,2022,17,17,12:00 a 17:59,Tarde,3,Jueves,Guatemala,Guatemala,6,Hombre,3,Menor de 15,Menor de 15,0 - 4,Menor,Motocicleta,Italika,Negro,2021,2020-2029,1,Lesionado,Internado,1
2222,2022,17,20,18:00 a 23:59,Noche,3,Jueves,Guatemala,Guatemala,18,Hombre,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2223,2022,17,17,12:00 a 17:59,Tarde,3,Jueves,Guatemala,Guatemala,16,Hombre,72,70-74,60 y más,70 - 74,Mayor,Motocicleta,United Motors (UM),Azul,2011,2010-2019,1,Lesionado,Internado,1
2224,2022,17,19,18:00 a 23:59,Noche,3,Jueves,Guatemala,Amatitlán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Honda,Blanco,Ignorado,Ignorado,1,Lesionado,No internado,1
2225,2022,17,9,06:00 a 11:59,Mañana,3,Jueves,Guatemala,Villa Nueva,Ignorado,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Blanco,Ignorado,Ignorado,1,Fallecido,No internado,1
2226,2022,17,23,18:00 a 23:59,Noche,3,Jueves,Guatemala,Mixco,3,Hombre,35,35-39,35-39,35 - 39,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,1,Fallecido,No internado,1
2227,2022,17,13,12:00 a 17:59,Tarde,3,Jueves,Jutiapa,Jalpatagua,Ignorado,Hombre,38,35-39,35-39,35 - 39,Mayor,Motocicleta,Suzuki,Corinto,Ignorado,Ignorado,1,Lesionado,Internado,1
2228,2022,17,19,18:00 a 23:59,Noche,3,Jueves,Jutiapa,Moyuta,Ignorado,Hombre,38,35-39,35-39,35 - 39,Mayor,Moto taxi,Bajaj,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2229,2022,17,19,18:00 a 23:59,Noche,3,Jueves,Jalapa,Jalapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,1,Fallecido,No internado,1
2230,2022,17,23,18:00 a 23:59,Noche,3,Jueves,Escuintla,Palín,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Asia Hero,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
2231,2022,17,0,00:00 a 05:59,Mañana,3,Jueves,Santa Rosa,Santa Rosa de Lima,Ignorado,Mujer,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Chery Destiny,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2232,2022,17,9,06:00 a 11:59,Mañana,3,Jueves,Retalhuleu,San Sebastián,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,1,Fallecido,No internado,1
2233,2022,17,1,00:00 a 05:59,Mañana,3,Jueves,San Marcos,Ixchiguán,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
2234,2022,17,1,00:00 a 05:59,Mañana,3,Jueves,San Marcos,Ixchiguán,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,3,Lesionado,Internado,3
2235,2022,17,1,00:00 a 05:59,Mañana,3,Jueves,San Marcos,Ixchiguán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,3,Fallecido,No internado,3
