﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
2276,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Fallecido,No internado,99
2277,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Guatemala,Guatemala,18,Mujer,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,2020,2020-2029,1,Lesionado,Internado,1
2278,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Guatemala,Guatemala,18,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,2020,2020-2029,1,Lesionado,Internado,1
2279,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Guatemala,Guatemala,18,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,2020,2020-2029,1,Lesionado,Internado,1
2280,2022,18,2,00:00 a 05:59,Mañana,3,Viernes,Guatemala,Guatemala,10,Hombre,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Italika,Rojo,2021,2020-2029,1,Lesionado,Internado,1
2281,2022,19,17,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Guatemala,1,Mujer,30,30-34,30-34,30 - 34,Mayor,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2282,2022,19,16,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Guatemala,3,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,6,Lesionado,Internado,6
2283,2022,19,19,18:00 a 23:59,Noche,3,Sabado,Guatemala,San Pedro Ayampuc,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Italika,Azul,2018,2010-2019,1,Lesionado,Internado,1
2284,2022,19,19,18:00 a 23:59,Noche,3,Sabado,Guatemala,San Pedro Ayampuc,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,TVS Apache,Azul,2020,2020-2029,1,Lesionado,Internado,1
2285,2022,19,19,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,18,Hombre,39,35-39,35-39,35 - 39,Mayor,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,1,Lesionado,Internado,1
2286,2022,19,22,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,6,Hombre,17,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
2287,2022,19,20,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,5,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Honda,Ignorado,2017,2010-2019,1,Lesionado,No internado,1
2288,2022,19,20,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,5,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ignorado,Blanco,2016,2010-2019,1,Lesionado,No internado,1
2289,2022,19,16,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Villa Nueva,12,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Honda,Negro,2021,2020-2029,1,Lesionado,Internado,1
2290,2022,19,18,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,7,Mujer,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2291,2022,19,23,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,7,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2292,2022,19,23,18:00 a 23:59,Noche,3,Sabado,Guatemala,Guatemala,7,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2293,2022,19,12,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Villa Nueva,3,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Movesa,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2294,2022,19,15,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Villa Canales,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Suzuki,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2295,2022,19,15,12:00 a 17:59,Tarde,3,Sabado,Guatemala,Villa Canales,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Suzuki,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2296,2022,19,23,18:00 a 23:59,Noche,3,Sabado,Guatemala,Mixco,4,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Hero Hunk,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2297,2022,19,9,06:00 a 11:59,Mañana,3,Sabado,Guatemala,Mixco,8,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2298,2022,19,19,18:00 a 23:59,Noche,3,Sabado,Jutiapa,Santa Catarina Mita,Ignorado,Mujer,41,40-44,40-44,40 - 44,Mayor,Motocicleta,Serpento,Rojo,2015,2010-2019,1,Lesionado,Internado,1
2299,2022,19,19,18:00 a 23:59,Noche,3,Sabado,Jutiapa,Jutiapa,Ignorado,Hombre,42,40-44,40-44,40 - 44,Mayor,Motocicleta,Yamaha,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2300,2022,19,20,18:00 a 23:59,Noche,3,Sabado,Jalapa,Mataquescuintla,Ignorado,Hombre,3,Menor de 15,Menor de 15,0 - 4,Menor,Automóvil,Geo,Celeste,Ignorado,Ignorado,1,Lesionado,Internado,1
2301,2022,19,20,18:00 a 23:59,Noche,3,Sabado,Jalapa,Mataquescuintla,Ignorado,Mujer,23,20-24,20-24,20 - 24,Mayor,Automóvil,Geo,Celeste,Ignorado,Ignorado,1,Lesionado,Internado,1
2302,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2303,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2304,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,38,35-39,35-39,35 - 39,Mayor,Pick up,Ignorado,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2305,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2306,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2307,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2308,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,40,40-44,40-44,40 - 44,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2309,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2310,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,18,15-19,15-19,15 - 19,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2311,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,21,20-24,20-24,20 - 24,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2312,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,9,Menor de 15,Menor de 15,5 - 9,Menor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2313,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,32,30-34,30-34,30 - 34,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2314,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,9,Menor de 15,Menor de 15,5 - 9,Menor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2315,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,13,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2316,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,32,30-34,30-34,30 - 34,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2317,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2318,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Mujer,59,55-59,55-59,55 - 59,Mayor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2319,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Chiquimula,Concepción las Minas,Ignorado,Hombre,2,Menor de 15,Menor de 15,0 - 4,Menor,Pick up,Nissan,Gris,Ignorado,Ignorado,1,Fallecido,No internado,1
2320,2022,19,0,00:00 a 05:59,Mañana,3,Sabado,Zacapa,Cabañas,Ignorado,Hombre,45,45-49,45-49,45 - 49,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,2,Fallecido,No internado,2
2321,2022,19,13,12:00 a 17:59,Tarde,3,Sabado,Escuintla,Sipacate,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2322,2022,19,13,12:00 a 17:59,Tarde,3,Sabado,Escuintla,Sipacate,Ignorado,Hombre,15,15-19,15-19,15 - 19,Menor,Motocicleta,Italika,Azul,2021,2020-2029,1,Lesionado,Internado,1
2323,2022,19,23,18:00 a 23:59,Noche,3,Sabado,Escuintla,Escuintla,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,6,Lesionado,Internado,6
2324,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Huehuetenango,La Democracia,Ignorado,Hombre,33,30-34,30-34,30 - 34,Mayor,Automóvil,Mini Cooper,Verde,2009,2000-2009,1,Lesionado,Internado,1
2325,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Huehuetenango,La Democracia,Ignorado,Hombre,31,30-34,30-34,30 - 34,Mayor,Automóvil,Mini Cooper,Verde,2009,2000-2009,1,Lesionado,Internado,1
2326,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Huehuetenango,La Democracia,Ignorado,Mujer,56,55-59,55-59,55 - 59,Mayor,Automóvil,Mini Cooper,Verde,2009,2000-2009,1,Lesionado,Internado,1
2327,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Huehuetenango,La Democracia,Ignorado,Mujer,32,30-34,30-34,30 - 34,Mayor,Automóvil,Mini Cooper,Verde,2009,2000-2009,1,Lesionado,Internado,1
2328,2022,19,8,06:00 a 11:59,Mañana,3,Sabado,Huehuetenango,La Democracia,Ignorado,Hombre,1,Menor de 15,Menor de 15,0 - 4,Menor,Automóvil,Mini Cooper,Verde,2009,2000-2009,1,Lesionado,Internado,1
2329,2022,19,17,12:00 a 17:59,Tarde,3,Sabado,Alta Verapaz,Chisec,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2330,2022,19,17,12:00 a 17:59,Tarde,3,Sabado,Alta Verapaz,Chisec,Ignorado,Hombre,44,40-44,40-44,40 - 44,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Fallecido,No internado,1
2331,2022,19,21,18:00 a 23:59,Noche,3,Sabado,Alta Verapaz,Santa Cruz Verapaz,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,1,Lesionado,No internado,1
2332,2022,19,21,18:00 a 23:59,Noche,3,Sabado,Alta Verapaz,Santa Cruz Verapaz,Ignorado,Mujer,29,25-29,25-29,25 - 29,Mayor,Automóvil,Honda,Gris,2007,2000-2009,1,Lesionado,No internado,1
2333,2022,19,21,18:00 a 23:59,Noche,3,Sabado,Izabal,Puerto Barrios,Ignorado,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
2334,2022,19,1,00:00 a 05:59,Mañana,3,Sabado,Petén,Flores,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Fallecido,No internado,1
2335,2022,19,1,00:00 a 05:59,Mañana,3,Sabado,Petén,Flores,Ignorado,Hombre,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2336,2022,19,13,12:00 a 17:59,Tarde,3,Sabado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,49,45-49,45-49,45 - 49,Mayor,Pick up,Mitsubishi,Rojo,Ignorado,Ignorado,1,Fallecido,No internado,1
2337,2022,19,13,12:00 a 17:59,Tarde,3,Sabado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,12,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Mitsubishi,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2338,2022,19,13,12:00 a 17:59,Tarde,3,Sabado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,56,55-59,55-59,55 - 59,Mayor,Grúa,Mack,Celeste,Ignorado,Ignorado,1,Lesionado,Internado,1
2339,2022,20,11,06:00 a 11:59,Mañana,3,Domingo,Guatemala,Guatemala,1,Mujer,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Honda,Rojo,2019,2010-2019,1,Lesionado,Internado,1
2340,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Guatemala,1,Hombre,62,60-64,60 y más,60 - 64,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2341,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Guatemala,1,Mujer,31,30-34,30-34,30 - 34,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2342,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Guatemala,1,Hombre,3,Menor de 15,Menor de 15,0 - 4,Menor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2343,2022,20,15,12:00 a 17:59,Tarde,3,Domingo,Guatemala,Guatemala,1,Mujer,40,40-44,40-44,40 - 44,Mayor,Automóvil,Mazda,Azul,Ignorado,Ignorado,1,Lesionado,Internado,1
2344,2022,20,15,12:00 a 17:59,Tarde,3,Domingo,Guatemala,Guatemala,1,Hombre,45,45-49,45-49,45 - 49,Mayor,Automóvil,Mazda,Azul,Ignorado,Ignorado,1,Lesionado,Internado,1
2345,2022,20,11,06:00 a 11:59,Mañana,3,Domingo,Guatemala,Guatemala,25,Mujer,38,35-39,35-39,35 - 39,Mayor,Motocicleta,TVS Apache,Negro,2022,2020-2029,1,Lesionado,Internado,1
2346,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Guatemala,6,Mujer,31,30-34,30-34,30 - 34,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2347,2022,20,5,00:00 a 05:59,Mañana,3,Domingo,Guatemala,San Pedro Ayampuc,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Asia Hero,Negro,2021,2020-2029,1,Lesionado,Internado,1
2348,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Amatitlán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Hero Hunk,Blanco,2021,2020-2029,1,Lesionado,No internado,1
2349,2022,20,1,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Villa Nueva,3,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Suzuki,Azul,2018,2010-2019,1,Lesionado,Internado,1
2350,2022,20,7,06:00 a 11:59,Mañana,3,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,6,Lesionado,Internado,6
2351,2022,20,0,00:00 a 05:59,Mañana,3,Domingo,Guatemala,Mixco,1,Hombre,29,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,2,Lesionado,Internado,2
2352,2022,20,18,18:00 a 23:59,Noche,3,Domingo,Jutiapa,Asunción Mita,Ignorado,Hombre,14,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Toyota,Rojo,1988,1980-1989,6,Lesionado,Internado,6
2353,2022,20,1,00:00 a 05:59,Mañana,3,Domingo,Zacapa,Zacapa,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2354,2022,20,22,18:00 a 23:59,Noche,3,Domingo,Escuintla,Siquinalá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Mayor,Camioneta,Ignorado,Blanco,Ignorado,Ignorado,1,Lesionado,Internado,1
2355,2022,20,21,18:00 a 23:59,Noche,3,Domingo,Escuintla,La Democracia,Ignorado,Mujer,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Azul,Ignorado,Ignorado,1,Lesionado,Internado,1
2356,2022,20,2,00:00 a 05:59,Mañana,3,Domingo,Santa Rosa,Chiquimulilla,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
2357,2022,20,2,00:00 a 05:59,Mañana,3,Domingo,Santa Rosa,Chiquimulilla,Ignorado,Mujer,20,20-24,20-24,20 - 24,Mayor,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
2358,2022,20,2,00:00 a 05:59,Mañana,3,Domingo,Santa Rosa,Chiquimulilla,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
2359,2022,20,2,00:00 a 05:59,Mañana,3,Domingo,Santa Rosa,Chiquimulilla,Ignorado,Mujer,27,25-29,25-29,25 - 29,Mayor,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,6,Lesionado,Internado,6
2360,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Suchitepéquez,San Antonio Suchitepéquez,Ignorado,Hombre,33,30-34,30-34,30 - 34,Mayor,Pick up,Toyota,Blanco,1988,1980-1989,2,Lesionado,Internado,2
2361,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Suchitepéquez,San Antonio Suchitepéquez,Ignorado,Hombre,7,Menor de 15,Menor de 15,5 - 9,Menor,Pick up,Toyota,Blanco,1988,1980-1989,2,Fallecido,Internado,2
2362,2022,20,19,18:00 a 23:59,Noche,3,Domingo,San Marcos,Ayutla,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,6,Fallecido,No internado,6
2363,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Hombre,60,60-64,60 y más,60 - 64,Mayor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,No internado,2
2364,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Mujer,15,15-19,15-19,15 - 19,Menor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2365,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Mujer,55,55-59,55-59,55 - 59,Mayor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2366,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Mujer,60,60-64,60 y más,60 - 64,Mayor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2367,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Mujer,51,50-54,50-54,50 - 54,Mayor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2368,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Mujer,17,15-19,15-19,15 - 19,Menor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2369,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Hombre,13,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2370,2022,20,17,12:00 a 17:59,Tarde,3,Domingo,Huehuetenango,San Pedro Necta,Ignorado,Hombre,32,30-34,30-34,30 - 34,Mayor,Pick up,Toyota,Blanco,Ignorado,Ignorado,2,Lesionado,Internado,2
2371,2022,20,11,06:00 a 11:59,Mañana,3,Domingo,Totonicapán,Totonicapán,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Italika,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2372,2022,20,12,12:00 a 17:59,Tarde,3,Domingo,Alta Verapaz,Senahú,Ignorado,Mujer,40,40-44,40-44,40 - 44,Mayor,Cuatrimoto,TVS Apache,Rojo,Ignorado,Ignorado,3,Lesionado,No internado,3
2373,2022,20,12,12:00 a 17:59,Tarde,3,Domingo,Alta Verapaz,Senahú,Ignorado,Hombre,12,Menor de 15,Menor de 15,10 - 14,Menor,Cuatrimoto,TVS Apache,Rojo,Ignorado,Ignorado,3,Lesionado,No internado,3
2374,2022,20,12,12:00 a 17:59,Tarde,3,Domingo,Alta Verapaz,Senahú,Ignorado,Mujer,15,15-19,15-19,15 - 19,Menor,Cuatrimoto,TVS Apache,Rojo,Ignorado,Ignorado,3,Lesionado,Internado,3
2375,2022,20,12,12:00 a 17:59,Tarde,3,Domingo,Alta Verapaz,Senahú,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Cuatrimoto,TVS Apache,Rojo,Ignorado,Ignorado,3,Lesionado,Internado,3
2376,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Hombre,28,25-29,25-29,25 - 29,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Fallecido,No internado,3
2377,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Fallecido,No internado,3
2378,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Lesionado,Internado,3
2379,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Mujer,45,45-49,45-49,45 - 49,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Lesionado,Internado,3
2380,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Hombre,14,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Lesionado,Internado,3
2381,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Hombre,4,Menor de 15,Menor de 15,0 - 4,Menor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Lesionado,Internado,3
2382,2022,20,13,12:00 a 17:59,Tarde,3,Domingo,El Progreso,Sanarate,Ignorado,Mujer,2,Menor de 15,Menor de 15,0 - 4,Menor,Pick up,Toyota,Azul,Ignorado,Ignorado,3,Lesionado,Internado,3
2383,2022,20,21,18:00 a 23:59,Noche,3,Domingo,Petén,Melchor de Mencos,Ignorado,Hombre,35,35-39,35-39,35 - 39,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,6,Fallecido,No internado,6
2384,2022,20,1,00:00 a 05:59,Mañana,3,Domingo,Chimaltenango,El Tejar,Ignorado,Hombre,44,40-44,40-44,40 - 44,Mayor,Motocicleta,Freedom,Negro,2022,2020-2029,6,Lesionado,Internado,6
2385,2022,21,23,18:00 a 23:59,Noche,3,Lunes,Guatemala,Guatemala,12,Hombre,30,30-34,30-34,30 - 34,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2386,2022,21,14,12:00 a 17:59,Tarde,3,Lunes,Baja Verapaz,Purulhá,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,6,Lesionado,Internado,6
2387,2022,21,12,12:00 a 17:59,Tarde,3,Lunes,Jutiapa,Jalpatagua,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2388,2022,21,17,12:00 a 17:59,Tarde,3,Lunes,Suchitepéquez,Chicacao,Ignorado,Hombre,10,Menor de 15,Menor de 15,10 - 14,Menor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2389,2022,21,21,18:00 a 23:59,Noche,3,Lunes,Quiché,Ixcán,Ignorado,Hombre,43,40-44,40-44,40 - 44,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
